name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.87631, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.96828, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.91736, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.86384, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.84994, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.90186, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.96723, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.91686, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.85773, 0, 0, 0, 0, 0, 1
addu_0, passed, 2.86116, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.86159, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.85705, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.84848, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.85992, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.85282, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.85356, 0, 0, 0, 0, 0, 1
add_0, passed, 2.85552, 0, 0, 0, 0, 0, 1
add_1, passed, 2.85776, 0, 0, 0, 0, 0, 1
add_2, passed, 2.86142, 0, 0, 0, 0, 0, 1
add_3, passed, 2.8585, 0, 0, 0, 0, 0, 1
add_4, passed, 2.85644, 0, 0, 0, 0, 0, 1
add_5, passed, 2.85638, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.86208, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.85594, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.85064, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.86197, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.8624, 0, 0, 0, 0, 0, 1
and_0, passed, 2.86827, 0, 0, 0, 0, 0, 1
and_1, passed, 2.85181, 0, 0, 0, 0, 0, 1
and_2, passed, 2.85934, 0, 0, 0, 0, 0, 1
and_3, passed, 2.84663, 0, 0, 0, 0, 0, 1
and_4, passed, 2.87465, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.91532, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.92712, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.93161, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.92336, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.91402, 0, 0, 0, 0, 0, 3
divu_5, passed, 2.93686, 0, 0, 0, 0, 0, 3
divu_6, passed, 2.92971, 0, 0, 0, 0, 0, 3
divu_7, passed, 2.93763, 0, 0, 0, 0, 0, 3
div_0, passed, 2.91337, 0, 0, 0, 0, 0, 3
div_1, passed, 2.91545, 0, 0, 0, 0, 0, 3
div_2, passed, 2.9657, 0, 0, 0, 0, 0, 3
div_3, passed, 2.94715, 0, 0, 0, 0, 0, 3
div_4, passed, 2.94433, 0, 0, 0, 0, 0, 3
div_5, passed, 2.93388, 0, 0, 0, 0, 0, 3
div_6, passed, 2.91229, 0, 0, 0, 0, 0, 3
div_7, passed, 2.94821, 0, 0, 0, 0, 0, 3
lui_0, passed, 2.84803, 0, 0, 0, 0, 0, 1
lui_1, passed, 2.85371, 0, 0, 0, 0, 0, 1
multu_0, passed, 2.94556, 0, 0, 0, 0, 0, 3
multu_1, passed, 2.93557, 0, 0, 0, 0, 0, 3
multu_2, passed, 2.92495, 0, 0, 0, 0, 0, 3
multu_3, passed, 3.00216, 0, 0, 0, 0, 0, 3
multu_4, passed, 2.91724, 0, 0, 0, 0, 0, 3
multu_5, passed, 2.924, 0, 0, 0, 0, 0, 3
multu_6, passed, 2.9246, 0, 0, 0, 0, 0, 3
multu_7, passed, 2.923, 0, 0, 0, 0, 0, 3
mult_0, passed, 2.94013, 0, 0, 0, 0, 0, 3
mult_1, passed, 2.96966, 0, 0, 0, 0, 0, 3
mult_2, passed, 2.94282, 0, 0, 0, 0, 0, 3
mult_3, passed, 2.92442, 0, 0, 0, 0, 0, 3
mult_4, passed, 2.98248, 0, 0, 0, 0, 0, 3
mult_5, passed, 2.95024, 0, 0, 0, 0, 0, 3
mult_6, passed, 2.91904, 0, 0, 0, 0, 0, 3
mult_7, passed, 2.92714, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 2.88993, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 2.90418, 0, 0, 0, 0, 0, 2
nop, passed, 2.9521, 0, 0, 0, 0, 0, 3
nor_0, passed, 2.86759, 0, 0, 0, 0, 0, 1
nor_1, passed, 2.86102, 0, 0, 0, 0, 0, 1
nor_2, passed, 2.86537, 0, 0, 0, 0, 0, 1
nor_3, passed, 2.8551, 0, 0, 0, 0, 0, 1
ori_0, passed, 2.87192, 0, 0, 0, 0, 0, 1
ori_1, passed, 2.86818, 0, 0, 0, 0, 0, 1
ori_2, passed, 2.86364, 0, 0, 0, 0, 0, 1
ori_3, passed, 2.85337, 0, 0, 0, 0, 0, 1
ori_4, passed, 2.89973, 0, 0, 0, 0, 0, 1
or_0, passed, 2.87288, 0, 0, 0, 0, 0, 1
or_1, passed, 2.85818, 0, 0, 0, 0, 0, 1
or_2, passed, 2.88068, 0, 0, 0, 0, 0, 1
or_3, passed, 2.87631, 0, 0, 0, 0, 0, 1
or_4, passed, 2.85121, 0, 0, 0, 0, 0, 1
sllv_0, passed, 2.85145, 0, 0, 0, 0, 0, 1
sllv_1, passed, 2.86023, 0, 0, 0, 0, 0, 1
sllv_10, passed, 2.85052, 0, 0, 0, 0, 0, 1
sllv_11, passed, 2.899, 0, 0, 0, 0, 0, 1
sllv_12, passed, 2.85246, 0, 0, 0, 0, 0, 1
sllv_2, passed, 2.85726, 0, 0, 0, 0, 0, 1
sllv_3, passed, 2.86058, 0, 0, 0, 0, 0, 1
sllv_4, passed, 2.85756, 0, 0, 0, 0, 0, 1
sllv_5, passed, 2.85981, 0, 0, 0, 0, 0, 1
sllv_6, passed, 2.8541, 0, 0, 0, 0, 0, 1
sllv_7, passed, 2.85297, 0, 0, 0, 0, 0, 1
sllv_8, passed, 2.85714, 0, 0, 0, 0, 0, 1
sllv_9, passed, 2.85137, 0, 0, 0, 0, 0, 1
sll_0, passed, 2.85696, 0, 0, 0, 0, 0, 1
sll_1, passed, 2.8548, 0, 0, 0, 0, 0, 1
sll_2, passed, 2.85434, 0, 0, 0, 0, 0, 1
sll_3, passed, 2.85383, 0, 0, 0, 0, 0, 1
sll_4, passed, 2.85929, 0, 0, 0, 0, 0, 1
sll_5, passed, 2.85989, 0, 0, 0, 0, 0, 1
sll_6, passed, 2.86028, 0, 0, 0, 0, 0, 1
sll_7, passed, 2.84387, 0, 0, 0, 0, 0, 1
sltiu_0, passed, 2.85904, 0, 0, 0, 0, 0, 1
sltiu_1, passed, 2.86323, 0, 0, 0, 0, 0, 1
sltiu_2, passed, 2.87337, 0, 0, 0, 0, 0, 1
sltiu_3, passed, 2.85091, 0, 0, 0, 0, 0, 1
sltiu_4, passed, 2.92966, 0, 0, 0, 0, 0, 1
sltiu_5, passed, 2.85763, 0, 0, 0, 0, 0, 1
slti_0, passed, 2.87526, 0, 0, 0, 0, 0, 1
slti_1, passed, 2.86933, 0, 0, 0, 0, 0, 1
slti_2, passed, 2.8696, 0, 0, 0, 0, 0, 1
slti_3, passed, 2.861, 0, 0, 0, 0, 0, 1
slti_4, passed, 2.90557, 0, 0, 0, 0, 0, 1
slti_5, passed, 2.91462, 0, 0, 0, 0, 0, 1
sltu_0, passed, 2.9009, 0, 0, 0, 0, 0, 1
sltu_1, passed, 2.85255, 0, 0, 0, 0, 0, 1
sltu_2, passed, 2.86987, 0, 0, 0, 0, 0, 1
sltu_3, passed, 2.86098, 0, 0, 0, 0, 0, 1
sltu_4, passed, 2.86835, 0, 0, 0, 0, 0, 1
sltu_5, passed, 2.85314, 0, 0, 0, 0, 0, 1
slt_0, passed, 2.87259, 0, 0, 0, 0, 0, 1
slt_1, passed, 2.86507, 0, 0, 0, 0, 0, 1
slt_2, passed, 2.8615, 0, 0, 0, 0, 0, 1
slt_3, passed, 2.85947, 0, 0, 0, 0, 0, 1
slt_4, passed, 2.85608, 0, 0, 0, 0, 0, 1
slt_5, passed, 2.8643, 0, 0, 0, 0, 0, 1
srav_0, passed, 2.88052, 0, 0, 0, 0, 0, 1
srav_1, passed, 2.85383, 0, 0, 0, 0, 0, 1
srav_10, passed, 2.86711, 0, 0, 0, 0, 0, 1
srav_11, passed, 2.85698, 0, 0, 0, 0, 0, 1
srav_12, passed, 2.86515, 0, 0, 0, 0, 0, 1
srav_2, passed, 2.85604, 0, 0, 0, 0, 0, 1
srav_3, passed, 2.85507, 0, 0, 0, 0, 0, 1
srav_4, passed, 2.85353, 0, 0, 0, 0, 0, 1
srav_5, passed, 2.86294, 0, 0, 0, 0, 0, 1
srav_6, passed, 2.85496, 0, 0, 0, 0, 0, 1
srav_7, passed, 2.86298, 0, 0, 0, 0, 0, 1
srav_8, passed, 2.86627, 0, 0, 0, 0, 0, 1
srav_9, passed, 2.86208, 0, 0, 0, 0, 0, 1
