name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.86865, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.98687, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.91621, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.85602, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.85938, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.85856, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.97102, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.93637, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.85518, 0, 0, 0, 0, 0, 1
addu_0, passed, 2.86172, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.85171, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.90607, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.8538, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.85324, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.93225, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.86238, 0, 0, 0, 0, 0, 1
add_0, passed, 2.88843, 0, 0, 0, 0, 0, 1
add_1, passed, 2.85137, 0, 0, 0, 0, 0, 1
add_2, passed, 2.85903, 0, 0, 0, 0, 0, 1
add_3, passed, 2.85384, 0, 0, 0, 0, 0, 1
add_4, passed, 2.87165, 0, 0, 0, 0, 0, 1
add_5, passed, 2.85984, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.86329, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.85828, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.8641, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.86031, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.85217, 0, 0, 0, 0, 0, 1
and_0, passed, 2.86157, 0, 0, 0, 0, 0, 1
and_1, passed, 2.87425, 0, 0, 0, 0, 0, 1
and_2, passed, 2.85638, 0, 0, 0, 0, 0, 1
and_3, passed, 2.86265, 0, 0, 0, 0, 0, 1
and_4, passed, 2.85847, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.93153, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.95253, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.94745, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.91516, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.94566, 0, 0, 0, 0, 0, 3
divu_5, passed, 2.92, 0, 0, 0, 0, 0, 3
divu_6, passed, 2.95284, 0, 0, 0, 0, 0, 3
divu_7, passed, 2.9423, 0, 0, 0, 0, 0, 3
div_0, passed, 2.92126, 0, 0, 0, 0, 0, 3
div_1, passed, 2.9386, 0, 0, 0, 0, 0, 3
div_2, passed, 2.94573, 0, 0, 0, 0, 0, 3
div_3, passed, 2.93588, 0, 0, 0, 0, 0, 3
div_4, passed, 2.91918, 0, 0, 0, 0, 0, 3
div_5, passed, 2.92562, 0, 0, 0, 0, 0, 3
div_6, passed, 2.91905, 0, 0, 0, 0, 0, 3
div_7, passed, 2.92062, 0, 0, 0, 0, 0, 3
lui_0, passed, 2.85686, 0, 0, 0, 0, 0, 1
lui_1, passed, 2.86281, 0, 0, 0, 0, 0, 1
multu_0, passed, 2.94204, 0, 0, 0, 0, 0, 3
multu_1, passed, 2.91895, 0, 0, 0, 0, 0, 3
multu_2, passed, 2.95557, 0, 0, 0, 0, 0, 3
multu_3, passed, 2.92504, 0, 0, 0, 0, 0, 3
multu_4, passed, 2.91359, 0, 0, 0, 0, 0, 3
multu_5, passed, 2.91731, 0, 0, 0, 0, 0, 3
multu_6, passed, 2.93294, 0, 0, 0, 0, 0, 3
multu_7, passed, 2.9163, 0, 0, 0, 0, 0, 3
mult_0, passed, 2.92886, 0, 0, 0, 0, 0, 3
mult_1, passed, 2.90791, 0, 0, 0, 0, 0, 3
mult_2, passed, 2.93871, 0, 0, 0, 0, 0, 3
mult_3, passed, 2.94108, 0, 0, 0, 0, 0, 3
mult_4, passed, 2.91961, 0, 0, 0, 0, 0, 3
mult_5, passed, 2.92015, 0, 0, 0, 0, 0, 3
mult_6, passed, 2.9129, 0, 0, 0, 0, 0, 3
