name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
sllv_11, passed, 8.2443, 1, 1, 10, 1, 10, 1
sllv_12, passed, 8.25427, 1, 1, 10, 1, 10, 1
sllv_2, passed, 8.25239, 1, 1, 10, 1, 10, 1
sllv_3, passed, 8.24133, 1, 1, 10, 1, 10, 1
sllv_4, passed, 8.34386, 1, 1, 10, 1, 10, 1
sllv_5, passed, 8.29411, 1, 1, 10, 1, 10, 1
sllv_6, passed, 8.27893, 1, 1, 10, 1, 10, 1
sllv_7, passed, 8.24797, 1, 1, 10, 1, 10, 1
sllv_8, passed, 8.52342, 1, 1, 10, 1, 10, 1
sllv_9, passed, 8.26483, 1, 1, 10, 1, 10, 1
sll_0, passed, 8.13888, 1, 1, 6, 1, 6, 1
sll_1, passed, 8.15003, 1, 1, 6, 1, 6, 1
sll_2, passed, 8.16583, 1, 1, 6, 1, 6, 1
sll_3, passed, 8.15015, 1, 1, 6, 1, 6, 1
sll_4, passed, 8.12546, 1, 1, 6, 1, 6, 1
sll_5, passed, 8.14339, 1, 1, 6, 1, 6, 1
sll_6, passed, 8.18913, 1, 1, 6, 1, 6, 1
sll_7, passed, 8.137, 1, 1, 6, 1, 6, 1
sltiu_0, passed, 8.14935, 1, 1, 6, 1, 6, 1
sltiu_1, passed, 8.19951, 1, 1, 6, 1, 6, 1
sltiu_2, passed, 8.15097, 1, 1, 6, 1, 6, 1
sltiu_3, passed, 8.13596, 1, 1, 6, 1, 6, 1
sltiu_4, passed, 8.1866, 1, 1, 6, 1, 6, 1
sltiu_5, passed, 8.24531, 1, 1, 6, 1, 6, 1
slti_0, passed, 8.14012, 1, 1, 6, 1, 6, 1
slti_1, passed, 8.17748, 1, 1, 6, 1, 6, 1
slti_2, passed, 8.14653, 1, 1, 6, 1, 6, 1
slti_3, passed, 8.13488, 1, 1, 6, 1, 6, 1
slti_4, passed, 8.17175, 1, 1, 6, 1, 6, 1
slti_5, passed, 8.18797, 1, 1, 6, 1, 6, 1
sltu_0, passed, 8.32403, 1, 1, 7, 1, 7, 1
sltu_1, passed, 8.28234, 1, 1, 7, 1, 7, 1
sltu_2, passed, 8.24567, 1, 1, 7, 1, 7, 1
sltu_3, passed, 8.23843, 1, 1, 7, 1, 7, 1
sltu_4, passed, 8.28943, 1, 1, 7, 1, 7, 1
sltu_5, passed, 8.20807, 1, 1, 7, 1, 7, 1
slt_0, passed, 8.22271, 1, 1, 7, 1, 7, 1
slt_1, passed, 8.22559, 1, 1, 7, 1, 7, 1
slt_2, passed, 8.3385, 1, 1, 7, 1, 7, 1
slt_3, passed, 8.23296, 1, 1, 7, 1, 7, 1
slt_4, passed, 8.2957, 1, 1, 7, 1, 7, 1
slt_5, passed, 8.28529, 1, 1, 7, 1, 7, 1
srav_0, passed, 8.21389, 1, 1, 10, 1, 10, 1
srav_1, passed, 8.26624, 1, 1, 10, 1, 10, 1
srav_10, passed, 8.22903, 1, 1, 10, 1, 10, 1
srav_11, passed, 8.40453, 1, 1, 10, 1, 10, 1
srav_12, passed, 8.25229, 1, 1, 10, 1, 10, 1
srav_2, passed, 8.25746, 1, 1, 10, 1, 10, 1
srav_3, passed, 8.2314, 1, 1, 10, 1, 10, 1
srav_4, passed, 8.23712, 1, 1, 10, 1, 10, 1
srav_5, passed, 8.22464, 1, 1, 10, 1, 10, 1
srav_6, passed, 8.24404, 1, 1, 10, 1, 10, 1
srav_7, passed, 8.25443, 1, 1, 10, 1, 10, 1
srav_8, passed, 8.25489, 1, 1, 10, 1, 10, 1
srav_9, passed, 8.22726, 1, 1, 10, 1, 10, 1
sra_0, passed, 8.12295, 1, 1, 6, 1, 6, 1
sra_1, passed, 8.11433, 1, 1, 6, 1, 6, 1
sra_2, passed, 8.12009, 1, 1, 6, 1, 6, 1
sra_3, passed, 8.16115, 1, 1, 6, 1, 6, 1
sra_4, passed, 8.16348, 1, 1, 6, 1, 6, 1
sra_5, passed, 8.13345, 1, 1, 6, 1, 6, 1
sra_6, passed, 8.16289, 1, 1, 6, 1, 6, 1
sra_7, passed, 8.13459, 1, 1, 6, 1, 6, 1
srlv_0, passed, 8.22669, 1, 1, 10, 1, 10, 1
srlv_1, passed, 8.24759, 1, 1, 10, 1, 10, 1
srlv_10, passed, 8.23482, 1, 1, 10, 1, 10, 1
srlv_11, passed, 8.24698, 1, 1, 10, 1, 10, 1
srlv_12, passed, 8.23543, 1, 1, 10, 1, 10, 1
srlv_2, passed, 8.29585, 1, 1, 10, 1, 10, 1
srlv_3, passed, 8.2435, 1, 1, 10, 1, 10, 1
srlv_4, passed, 8.26567, 1, 1, 10, 1, 10, 1
srlv_5, passed, 8.24346, 1, 1, 10, 1, 10, 1
srlv_6, passed, 8.249, 1, 1, 10, 1, 10, 1
srlv_7, passed, 8.25379, 1, 1, 10, 1, 10, 1
srlv_8, passed, 8.24526, 1, 1, 10, 1, 10, 1
srlv_9, passed, 8.22952, 1, 1, 10, 1, 10, 1
srl_0, passed, 8.14589, 1, 1, 6, 1, 6, 1
srl_1, passed, 8.12626, 1, 1, 6, 1, 6, 1
srl_2, passed, 8.12258, 1, 1, 6, 1, 6, 1
srl_3, passed, 8.1311, 1, 1, 6, 1, 6, 1
srl_4, passed, 8.1197, 1, 1, 6, 1, 6, 1
srl_5, passed, 8.15099, 1, 1, 6, 1, 6, 1
srl_6, passed, 8.11997, 1, 1, 6, 1, 6, 1
srl_7, passed, 8.12293, 1, 1, 6, 1, 6, 1
subu_0, passed, 8.20063, 1, 1, 6, 1, 6, 1
subu_1, passed, 8.14347, 1, 1, 6, 1, 6, 1
subu_2, passed, 8.12483, 1, 1, 6, 1, 6, 1
subu_3, passed, 8.16919, 1, 1, 5, 1, 5, 1
subu_4, passed, 8.18423, 1, 1, 5, 1, 5, 1
subu_5, passed, 8.11971, 1, 1, 6, 1, 6, 1
sub_0, passed, 8.15502, 1, 1, 6, 1, 6, 1
sub_1, passed, 8.14281, 1, 1, 6, 1, 6, 1
sub_2, passed, 8.14225, 1, 1, 6, 1, 6, 1
sub_3, passed, 8.08031, 1, 1, 5, 1, 5, 1
sub_4, passed, 8.04996, 1, 1, 5, 1, 5, 1
sub_5, passed, 8.12267, 1, 1, 6, 1, 6, 1
xori_0, passed, 8.11532, 1, 1, 6, 1, 6, 1
xori_1, passed, 8.14144, 1, 1, 6, 1, 6, 1
xori_2, passed, 8.12402, 1, 1, 6, 1, 6, 1
xori_3, passed, 8.12657, 1, 1, 6, 1, 6, 1
xori_4, passed, 8.12704, 1, 1, 6, 1, 6, 1
xor_0, passed, 8.14288, 1, 1, 6, 1, 6, 1
xor_1, passed, 8.1147, 1, 1, 6, 1, 6, 1
xor_2, passed, 8.14567, 1, 1, 6, 1, 6, 1
xor_3, passed, 8.17483, 1, 1, 6, 1, 6, 1
xor_4, passed, 8.14161, 1, 1, 6, 1, 6, 1
beq_0, passed, 8.63545, 2, 2, 13, 3, 13, 3
beq_1, passed, 8.77738, 2, 2, 16, 4, 16, 4
beq_2, passed, 8.80551, 2, 3, 16, 6, 26, 11
beq_3, passed, 8.8183, 2, 2, 16, 6, 16, 6
bgezal_0, passed, 8.67639, 2, 2, 13, 3, 13, 3
bgezal_1, passed, 8.66456, 2, 2, 13, 3, 13, 3
bgezal_2, passed, 8.73604, 2, 2, 16, 4, 16, 4
bgezal_3, passed, 8.95096, 2, 3, 16, 6, 26, 11
bgezal_4, passed, 8.87718, 2, 3, 16, 6, 26, 11
bgezal_5, passed, 8.88369, 2, 2, 16, 6, 16, 6
bgezal_6, passed, 9.54398, 4, 4, 18, 8, 18, 8
bgezal_7, passed, 9.57259, 4, 4, 27, 9, 27, 9
bgez_0, passed, 8.59411, 2, 2, 12, 3, 12, 3
bgez_1, passed, 8.6084, 2, 2, 12, 3, 12, 3
bgez_2, passed, 8.72589, 2, 2, 15, 4, 15, 4
bgez_3, passed, 8.85514, 2, 3, 15, 6, 24, 11
bgez_4, passed, 8.78725, 2, 3, 15, 6, 24, 11
bgez_5, passed, 8.80482, 2, 2, 15, 6, 15, 6
bgtz_0, passed, 8.60636, 2, 2, 12, 3, 12, 3
bgtz_1, passed, 8.74773, 2, 2, 15, 4, 15, 4
bgtz_2, passed, 8.73204, 2, 2, 15, 4, 15, 4
bgtz_3, passed, 8.78865, 2, 3, 15, 6, 24, 11
bgtz_4, passed, 8.77138, 2, 2, 15, 6, 15, 6
bgtz_5, passed, 8.78453, 2, 2, 15, 6, 15, 6
blez_0, passed, 8.57827, 2, 2, 12, 3, 12, 3
blez_1, passed, 8.56358, 2, 2, 12, 3, 12, 3
blez_2, passed, 8.70834, 2, 2, 15, 4, 15, 4
blez_3, passed, 8.81254, 2, 3, 15, 6, 24, 11
blez_4, passed, 8.80943, 2, 3, 15, 6, 24, 11
blez_5, passed, 8.84563, 2, 2, 15, 6, 15, 6
bltzal_0, passed, 8.67575, 2, 2, 13, 3, 13, 3
bltzal_1, passed, 8.7277, 2, 2, 16, 4, 16, 4
bltzal_2, passed, 8.68676, 2, 2, 16, 4, 16, 4
bltzal_3, passed, 8.89524, 2, 3, 16, 6, 26, 11
bltzal_4, passed, 8.90093, 2, 2, 16, 6, 16, 6
bltzal_5, passed, 8.88631, 2, 2, 16, 6, 16, 6
bltzal_6, passed, 9.51664, 4, 4, 18, 8, 18, 8
bltzal_7, passed, 9.53028, 4, 4, 27, 9, 27, 9
bltz_0, passed, 8.56736, 2, 2, 12, 3, 12, 3
bltz_1, passed, 8.72685, 2, 2, 15, 4, 15, 4
bltz_2, passed, 8.71374, 2, 2, 15, 4, 15, 4
bltz_3, passed, 8.80526, 2, 3, 15, 6, 24, 11
bltz_4, passed, 8.78782, 2, 2, 15, 6, 15, 6
bltz_5, passed, 8.82879, 2, 2, 15, 6, 15, 6
bne_0, passed, 8.61398, 2, 2, 13, 3, 13, 3
bne_1, passed, 8.82219, 2, 2, 16, 4, 16, 4
bne_2, passed, 8.79305, 2, 3, 16, 6, 26, 11
bne_3, passed, 8.7956, 2, 2, 16, 6, 16, 6
delay_beq_0, passed, 8.77117, 2, 2, 16, 3, 16, 3
delay_beq_1, passed, 8.79044, 2, 2, 19, 4, 19, 4
delay_beq_2, passed, 8.97866, 2, 3, 19, 6, 32, 11
delay_beq_3, passed, 8.93921, 2, 2, 19, 6, 19, 6
delay_beq_4, passed, 8.58941, 1, 2, 13, 5, 26, 10
delay_bgezal_0, passed, 8.7754, 2, 2, 16, 3, 16, 3
delay_bgezal_1, passed, 8.86369, 2, 2, 16, 3, 16, 3
delay_bgezal_2, passed, 8.84873, 2, 2, 19, 4, 19, 4
delay_bgezal_3, passed, 8.95611, 2, 3, 19, 6, 32, 11
delay_bgezal_4, passed, 8.95266, 2, 3, 19, 6, 32, 11
delay_bgezal_5, passed, 8.9241, 2, 2, 19, 6, 19, 6
delay_bgezal_6, passed, 9.61356, 4, 4, 22, 8, 22, 8
delay_bgezal_7, passed, 9.71428, 4, 4, 34, 9, 34, 9
delay_bgezal_8, passed, 11.1281, 4, 4, 35, 9, 35, 9
delay_bgezal_9, passed, 9.67243, 4, 4, 25, 8, 25, 8
delay_bgez_0, passed, 8.72727, 2, 2, 15, 3, 15, 3
delay_bgez_1, passed, 8.72167, 2, 2, 15, 3, 15, 3
delay_bgez_2, passed, 8.82665, 2, 2, 18, 4, 18, 4
delay_bgez_3, passed, 8.93633, 2, 3, 18, 6, 30, 11
delay_bgez_4, passed, 8.945, 2, 3, 18, 6, 30, 11
delay_bgez_5, passed, 8.94811, 2, 2, 18, 6, 18, 6
delay_bgtz_0, passed, 9.07086, 2, 2, 15, 3, 15, 3
delay_bgtz_1, passed, 8.79886, 2, 2, 18, 4, 18, 4
delay_bgtz_2, passed, 8.78605, 2, 2, 18, 4, 18, 4
delay_bgtz_3, passed, 8.9604, 2, 3, 18, 6, 30, 11
delay_bgtz_4, passed, 8.90279, 2, 2, 18, 6, 18, 6
delay_bgtz_5, passed, 8.93815, 2, 2, 18, 6, 18, 6
delay_blez_0, passed, 8.91798, 2, 2, 15, 3, 15, 3
delay_blez_1, passed, 8.74133, 2, 2, 15, 3, 15, 3
delay_blez_2, passed, 8.78272, 2, 2, 18, 4, 18, 4
delay_blez_3, passed, 9.06892, 2, 3, 18, 6, 30, 11
delay_blez_4, passed, 8.90729, 2, 3, 18, 6, 30, 11
delay_blez_5, passed, 8.9248, 2, 2, 18, 6, 18, 6
delay_bltzal_0, passed, 8.76517, 2, 2, 16, 3, 16, 3
delay_bltzal_1, passed, 8.79985, 2, 2, 19, 4, 19, 4
delay_bltzal_2, passed, 8.79774, 2, 2, 19, 4, 19, 4
delay_bltzal_3, passed, 8.99376, 2, 3, 19, 6, 32, 11
delay_bltzal_4, passed, 8.97077, 2, 2, 19, 6, 19, 6
delay_bltzal_5, passed, 9.01523, 2, 2, 19, 6, 19, 6
delay_bltzal_6, passed, 9.65096, 4, 4, 23, 8, 23, 8
delay_bltzal_7, passed, 9.7261, 4, 4, 34, 9, 34, 9
delay_bltz_0, passed, 8.79038, 2, 2, 15, 3, 15, 3
delay_bltz_1, passed, 8.80407, 2, 2, 18, 4, 18, 4
delay_bltz_2, passed, 9.32028, 2, 2, 18, 4, 18, 4
delay_bltz_3, passed, 8.94411, 2, 3, 18, 6, 30, 11
delay_bltz_4, passed, 8.93904, 2, 2, 18, 6, 18, 6
delay_bltz_5, passed, 8.94426, 2, 2, 18, 6, 18, 6
delay_bne_0, passed, 8.74266, 2, 2, 16, 3, 16, 3
delay_bne_1, passed, 8.78839, 2, 2, 19, 4, 19, 4
delay_bne_2, passed, 8.99862, 2, 3, 19, 6, 32, 11
delay_bne_3, passed, 9.00791, 2, 2, 19, 6, 19, 6
delay_jalr_0, passed, 10.3049, 5, 5, 28, 13, 28, 13
delay_jalr_1, passed, 9.978, 5, 5, 25, 12, 25, 12
delay_jalr_2, passed, 10.1365, 5, 5, 29, 12, 29, 12
delay_jalr_3, passed, 10.1423, 5, 5, 29, 13, 29, 13
delay_jal_0, passed, 8.61238, 2, 2, 11, 3, 11, 3
delay_jal_jr_0, passed, 9.58264, 4, 4, 18, 8, 18, 8
delay_jal_jr_1, passed, 9.471, 4, 4, 22, 8, 22, 8
delay_jal_jr_2, passed, 9.45224, 4, 4, 22, 9, 22, 9
delay_j_0, passed, 8.61192, 2, 2, 10, 3, 10, 3
jalr_0, passed, 9.98138, 5, 5, 24, 13, 24, 13
jalr_1, passed, 9.92463, 5, 5, 21, 12, 21, 12
jal_0, passed, 8.58799, 2, 2, 10, 3, 10, 3
jal_jr_0, passed, 9.43292, 4, 4, 15, 8, 15, 8
j_0, passed, 8.57177, 2, 2, 9, 3, 9, 3
long_mul, passed, 9.59487, 3, 22, 24, 9, 195, 85
long_mul_o3, passed, 9.75438, 3, 22, 28, 7, 237, 64
lbu_0, passed, 9.66852, 1, 1, 17, 3, 17, 3
lbu_1, passed, 9.69792, 1, 1, 17, 3, 17, 3
lbu_2, passed, 9.65843, 1, 1, 17, 3, 17, 3
lbu_3, passed, 9.63741, 1, 1, 17, 3, 17, 3
lbu_4, passed, 9.67761, 1, 1, 17, 3, 17, 3
lbu_5, passed, 9.70843, 1, 1, 17, 3, 17, 3
lbu_6, passed, 11.4737, 1, 1, 38, 6, 38, 6
lb_0, passed, 9.64602, 1, 1, 17, 3, 17, 3
lb_1, passed, 9.7542, 1, 1, 17, 3, 17, 3
lb_2, passed, 9.65789, 1, 1, 17, 3, 17, 3
lb_3, passed, 9.68679, 1, 1, 17, 3, 17, 3
lb_4, passed, 9.674, 1, 1, 17, 3, 17, 3
lb_5, passed, 9.63792, 1, 1, 17, 3, 17, 3
lb_6, passed, 11.2873, 1, 1, 38, 6, 38, 6
lhu_0, passed, 9.69449, 1, 1, 17, 3, 17, 3
lhu_1, passed, 9.68635, 1, 1, 17, 3, 17, 3
lhu_2, passed, 9.682, 1, 1, 17, 3, 17, 3
lhu_3, passed, 9.67602, 1, 1, 17, 3, 17, 3
lhu_4, passed, 9.67312, 1, 1, 17, 3, 17, 3
lhu_5, passed, 9.68209, 1, 1, 17, 3, 17, 3
lhu_6, passed, 10.237, 1, 1, 24, 4, 24, 4
lh_0, passed, 9.66887, 1, 1, 17, 3, 17, 3
lh_1, passed, 9.69465, 1, 1, 17, 3, 17, 3
lh_2, passed, 9.66844, 1, 1, 17, 3, 17, 3
lh_3, passed, 9.65855, 1, 1, 17, 3, 17, 3
lh_4, passed, 9.71945, 1, 1, 17, 3, 17, 3
lh_5, passed, 9.68392, 1, 1, 17, 3, 17, 3
lh_6, passed, 10.4734, 1, 1, 24, 4, 24, 4
lwl_0, passed, 10.2998, 1, 1, 23, 4, 23, 4
lwl_1, passed, 10.2269, 1, 1, 24, 4, 24, 4
lwl_2, passed, 10.1893, 1, 1, 24, 4, 24, 4
lwl_3, passed, 10.1931, 1, 1, 24, 4, 24, 4
lwl_4, passed, 10.1887, 1, 1, 24, 4, 24, 4
lwl_5, passed, 10.3214, 1, 1, 23, 4, 23, 4
lwl_6, passed, 10.2261, 1, 1, 24, 4, 24, 4
lwl_7, passed, 10.1991, 1, 1, 24, 4, 24, 4
lwl_8, passed, 10.2144, 1, 1, 24, 4, 24, 4
lwl_9, passed, 10.2976, 1, 1, 24, 4, 24, 4
lwl_lwr_0, passed, 10.6109, 1, 1, 31, 5, 31, 5
lwl_lwr_1, passed, 10.6311, 1, 1, 32, 5, 32, 5
lwl_lwr_2, passed, 10.6512, 1, 1, 32, 5, 32, 5
lwl_lwr_3, passed, 10.6627, 1, 1, 32, 5, 32, 5
lwl_lwr_4, passed, 10.6266, 1, 1, 32, 5, 32, 5
lwr_0, passed, 10.1786, 1, 1, 23, 4, 23, 4
lwr_1, passed, 10.1589, 1, 1, 24, 4, 24, 4
lwr_2, passed, 10.1655, 1, 1, 24, 4, 24, 4
lwr_3, passed, 10.3255, 1, 1, 24, 4, 24, 4
lwr_4, passed, 10.1821, 1, 1, 24, 4, 24, 4
lwr_5, passed, 10.3223, 1, 1, 23, 4, 23, 4
lwr_6, passed, 10.2021, 1, 1, 24, 4, 24, 4
lwr_7, passed, 10.1704, 1, 1, 24, 4, 24, 4
lwr_8, passed, 10.1768, 1, 1, 24, 4, 24, 4
lwr_9, passed, 10.1641, 1, 1, 24, 4, 24, 4
lw_0, passed, 9.70537, 1, 1, 17, 3, 17, 3
lw_1, passed, 9.82092, 1, 1, 17, 3, 17, 3
lw_2, passed, 9.6941, 1, 1, 17, 3, 17, 3
lw_3, passed, 9.67305, 1, 1, 17, 3, 17, 3
lw_4, passed, 9.66706, 1, 1, 17, 3, 17, 3
lw_5, passed, 9.68172, 1, 1, 17, 3, 17, 3
lw_6, passed, 9.6372, 1, 1, 16, 3, 16, 3
sb_0, passed, 11.2538, 1, 1, 38, 6, 38, 6
sb_lbu_0, passed, 9.63498, 1, 1, 17, 3, 17, 3
sb_lbu_1, passed, 11.916, 1, 1, 51, 11, 51, 11
sb_lbu_2, passed, 12.0061, 1, 1, 51, 11, 51, 11
sb_lbu_3, passed, 11.7575, 1, 1, 48, 10, 48, 10
sb_lbu_4, passed, 98.6119, 6, 4098, 62, 22, 43028, 16390
sb_lb_0, passed, 9.6451, 1, 1, 17, 3, 17, 3
sb_lb_1, passed, 11.8089, 1, 1, 51, 11, 51, 11
sb_lb_2, passed, 11.7886, 1, 1, 51, 11, 51, 11
sb_lb_3, passed, 11.7579, 1, 1, 48, 10, 48, 10
sb_lb_4, passed, 98.0948, 6, 4098, 62, 22, 43028, 16390
sh_0, passed, 10.1896, 1, 1, 24, 4, 24, 4
sh_lhu_0, passed, 9.65487, 1, 1, 17, 3, 17, 3
sh_lhu_1, passed, 11.871, 1, 1, 51, 11, 51, 11
sh_lhu_2, passed, 12.1114, 1, 1, 51, 11, 51, 11
sh_lhu_3, passed, 11.9312, 1, 1, 48, 10, 48, 10
sh_lhu_4, passed, 57.5777, 6, 2050, 62, 22, 21524, 8198
sh_lh_0, passed, 9.67349, 1, 1, 17, 3, 17, 3
sh_lh_1, passed, 11.883, 1, 1, 51, 11, 51, 11
sh_lh_2, passed, 11.9615, 1, 1, 51, 11, 51, 11
sh_lh_3, passed, 11.913, 1, 1, 48, 10, 48, 10
sh_lh_4, passed, 57.8911, 6, 2050, 62, 22, 21524, 8198
sw_lw_0, passed, 9.67174, 1, 1, 17, 3, 17, 3
sw_lw_1, passed, 11.8144, 1, 1, 51, 11, 51, 11
sw_lw_2, passed, 12.0855, 1, 1, 51, 11, 51, 11
sw_lw_3, passed, 12.005, 1, 1, 48, 10, 48, 10
sw_lw_4, passed, 34.7779, 6, 1026, 62, 22, 10772, 4102
$0, passed, 7.98546, 1, 1, 3, 1, 3, 1
register pressure, passed, 10.493, 1, 1, 96, 32, 96, 32
comment-post, passed, 8.10647, 1, 1, 6, 1, 6, 1
comment, passed, 8.14283, 1, 1, 6, 1, 6, 1
literal_bin, passed, 8.15226, 1, 1, 6, 1, 6, 1
literal_hex, passed, 8.14803, 1, 1, 6, 1, 6, 1
memcpy(1), passed, 11.4958, 4, 4, 37, 14, 37, 14
memcpy(2), passed, 11.5726, 4, 5, 37, 14, 58, 22
memcpy(4), passed, 11.741, 4, 7, 37, 14, 100, 38
memcpy(8), passed, 12.0714, 4, 11, 37, 14, 184, 70
memcpy(16), passed, 12.5993, 4, 19, 37, 14, 352, 134
memcpy(32), passed, 13.5211, 4, 35, 37, 14, 688, 262
memcpy(64), passed, 15.3718, 4, 67, 37, 14, 1360, 518
memcpy(128), passed, 18.4716, 4, 131, 37, 14, 2704, 1030
memcpy(256), passed, 24.652, 4, 259, 37, 14, 5392, 2054
memcpy(512), passed, 37.5965, 4, 515, 37, 14, 10768, 4102
memcpy(1024), passed, 65.9958, 4, 1027, 37, 14, 21520, 8198
memcpy(2048), passed, 130.418, 4, 2051, 37, 14, 43024, 16390
memcpy(4096), passed, 258.672, 4, 4099, 37, 14, 86032, 32774
memcpy(8192), passed, 513.294, 4, 8195, 37, 14, 172048, 65542
memcpy(16384), passed, 1024.63, 4, 16387, 37, 14, 344080, 131078
memcpy(32768), passed, 2391.74, 4, 32771, 37, 14, 688144, 262150
memcpy(65536), passed, 4685.51, 4, 65539, 37, 14, 1376272, 524294
