name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.88989, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.96489, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.91731, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.85885, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.85479, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.87203, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.97104, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.92858, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.87175, 0, 0, 0, 0, 0, 1
addu_0, passed, 2.86186, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.857, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.85776, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.86739, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.88925, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.8636, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.86869, 0, 0, 0, 0, 0, 1
add_0, passed, 2.87653, 0, 0, 0, 0, 0, 1
add_1, passed, 2.857, 0, 0, 0, 0, 0, 1
add_2, passed, 2.86625, 0, 0, 0, 0, 0, 1
add_3, passed, 2.88894, 0, 0, 0, 0, 0, 1
add_4, passed, 2.86361, 0, 0, 0, 0, 0, 1
add_5, passed, 2.86056, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.85896, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.86911, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.86444, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.86263, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.86623, 0, 0, 0, 0, 0, 1
and_0, passed, 2.86018, 0, 0, 0, 0, 0, 1
and_1, passed, 2.87032, 0, 0, 0, 0, 0, 1
and_2, passed, 2.85678, 0, 0, 0, 0, 0, 1
and_3, passed, 2.85771, 0, 0, 0, 0, 0, 1
and_4, passed, 2.86449, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.92305, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.96021, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.95889, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.94598, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.92662, 0, 0, 0, 0, 0, 3
